factor,n_clusters_db,n_noise_db,acc_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,acc_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,acc_dbp_kg,Exec_time_dbp_kg
0.1,3.0,72.0,0.0,0.01761031150817871,3.0,181.0,0.025,0.3174469470977783,2.0,315.0,0.0,0.320697546005249
0.2,3.0,72.0,0.0,0.017531633377075195,1.0,170.0,0.022222222222222223,0.6266829967498779,3.0,244.0,0.0,0.631671667098999
0.30000000000000004,3.0,72.0,0.0,0.017383337020874023,2.0,132.0,0.030555555555555555,0.9667143821716309,2.0,179.0,0.011111111111111112,0.9735333919525146
0.4,3.0,72.0,0.0,0.01729583740234375,1.0,112.0,0.03611111111111111,1.2660629749298096,1.0,128.0,0.022222222222222223,1.2812137603759766
0.5,3.0,72.0,0.0,0.017189979553222656,2.0,104.0,0.03333333333333333,1.5929949283599854,1.0,112.0,0.025,1.6188466548919678
0.6,3.0,72.0,0.0,0.017143726348876953,1.0,102.0,0.03333333333333333,1.907672643661499,1.0,100.0,0.03611111111111111,1.9429993629455566
0.7000000000000001,3.0,72.0,0.0,0.017251968383789062,2.0,113.0,0.027777777777777776,2.2385683059692383,1.0,97.0,0.03611111111111111,2.2866437435150146
0.8,3.0,72.0,0.0,0.017363548278808594,1.0,94.0,0.03611111111111111,2.5682945251464844,1.0,95.0,0.03611111111111111,2.56461501121521
0.9,3.0,72.0,0.0,0.01728534698486328,1.0,94.0,0.03611111111111111,2.848900079727173,1.0,93.0,0.03611111111111111,2.9428398609161377
1.0,3.0,72.0,0.0,0.018984317779541016,1.0,93.0,0.03611111111111111,3.1846413612365723,1.0,93.0,0.03611111111111111,3.1876776218414307
